idx,Accuracy,IoU,Precision,Recall,F1,Runtime
0.0,0.652,0.353,0.525,0.686,0.451,0.248
1.0,0.908,0.454,0.467,0.485,0.476,0.163
2.0,0.057,0.029,0.529,0.5,0.054,0.16
3.0,0.073,0.036,0.536,0.5,0.068,0.16
4.0,0.06,0.03,0.53,0.5,0.057,0.176
5.0,0.037,0.018,0.518,0.5,0.036,0.164
6.0,0.034,0.017,0.517,0.5,0.033,0.163
7.0,0.065,0.032,0.532,0.5,0.061,0.181
8.0,0.06,0.03,0.53,0.5,0.056,0.161
9.0,0.039,0.02,0.52,0.5,0.038,0.167
10.0,0.951,0.476,0.476,0.499,0.488,0.155
11.0,0.062,0.031,0.531,0.5,0.059,0.159
12.0,0.059,0.029,0.529,0.5,0.056,0.159
13.0,0.033,0.016,0.516,0.5,0.032,0.166
14.0,0.04,0.02,0.52,0.5,0.038,0.157
15.0,0.066,0.033,0.533,0.5,0.062,0.173
16.0,0.966,0.616,0.898,0.64,0.702,0.162
17.0,0.037,0.018,0.518,0.5,0.035,0.159
18.0,0.04,0.02,0.52,0.5,0.039,0.176
19.0,0.046,0.023,0.523,0.5,0.044,0.168
20.0,0.036,0.018,0.518,0.5,0.035,0.167
21.0,0.927,0.587,0.793,0.636,0.68,0.158
22.0,0.053,0.026,0.526,0.5,0.05,0.161
23.0,0.05,0.025,0.525,0.5,0.048,0.165
24.0,0.049,0.025,0.525,0.5,0.047,0.165
25.0,0.049,0.024,0.524,0.5,0.046,0.157
26.0,0.082,0.041,0.541,0.5,0.076,0.147
27.0,0.041,0.021,0.521,0.5,0.04,0.163
28.0,0.042,0.021,0.521,0.5,0.04,0.167
29.0,0.032,0.016,0.516,0.5,0.031,0.164
