Accuracy,IoU,Precision,Recall,F1,Conversion time,Annealing time
0.826,0.277,0.656,0.618,0.302,1.781,39.522
0.509,0.173,0.653,0.51,0.228,1.907,38.619
0.718,0.242,0.651,0.585,0.28,1.929,42.571
0.909,0.304,0.646,0.657,0.318,1.948,43.389
0.73,0.246,0.646,0.592,0.283,1.783,41.971
0.768,0.256,0.653,0.598,0.29,2.093,35.017
0.807,0.271,0.653,0.614,0.299,2.062,39.727
0.483,0.167,0.648,0.506,0.223,1.797,41.535
0.623,0.214,0.659,0.551,0.261,2.098,33.558
0.553,0.185,0.646,0.525,0.238,2.149,40.633
0.923,0.31,0.655,0.654,0.321,2.083,36.764
0.872,0.291,0.645,0.644,0.311,1.825,41.831
0.902,0.302,0.652,0.649,0.317,2.229,36.279
0.617,0.211,0.659,0.547,0.258,2.087,34.292
0.707,0.244,0.644,0.591,0.282,2.05,38.451
0.877,0.292,0.648,0.642,0.312,2.074,39.874
0.662,0.225,0.652,0.565,0.268,2.069,34.656
0.826,0.275,0.648,0.623,0.302,2.143,40.338
0.712,0.242,0.653,0.583,0.28,2.066,42.69
0.618,0.207,0.63,0.558,0.255,2.138,40.731
0.605,0.208,0.66,0.544,0.256,2.074,27.102
0.533,0.181,0.652,0.519,0.235,2.06,39.257
0.566,0.193,0.647,0.533,0.244,2.066,41.008
0.915,0.305,0.656,0.648,0.319,2.061,42.494
0.512,0.175,0.64,0.517,0.23,2.068,34.986
0.807,0.27,0.645,0.619,0.298,2.071,35.101
0.864,0.29,0.655,0.632,0.31,2.063,36.13
0.636,0.215,0.657,0.553,0.261,2.052,39.12
0.822,0.279,0.649,0.626,0.304,2.075,34.085
0.878,0.297,0.651,0.644,0.314,2.055,40.075
