Accuracy,IoU,Precision,Recall,F1,Conversion time,Sampling time,Annealing time,Labeling time
0.878,0.451,0.5,0.501,0.492,1.834,0.313,1.292,2.862
0.706,0.383,0.51,0.533,0.474,1.769,0.307,0.38,2.858
0.43,0.23,0.5,0.498,0.336,1.799,0.307,0.16,2.97
0.503,0.273,0.501,0.503,0.384,2.002,0.314,0.174,3.028
0.764,0.407,0.503,0.509,0.482,1.792,0.328,0.449,3.073
0.676,0.353,0.502,0.515,0.435,1.802,0.319,0.407,3.062
0.881,0.46,0.507,0.516,0.505,1.797,0.339,1.502,2.854
0.75,0.406,0.51,0.527,0.49,1.975,0.321,0.318,2.828
0.812,0.415,0.487,0.461,0.465,1.95,0.322,0.835,3.079
0.668,0.352,0.505,0.532,0.438,1.795,0.311,0.305,2.855
0.568,0.301,0.504,0.526,0.4,1.929,0.318,0.284,2.993
0.61,0.322,0.499,0.493,0.416,1.965,0.314,0.243,2.82
0.882,0.456,0.499,0.499,0.499,1.939,0.356,2.383,3.08
0.868,0.446,0.497,0.493,0.488,1.772,0.328,1.214,3.104
0.672,0.363,0.492,0.479,0.456,1.81,0.315,0.404,3.093
0.547,0.294,0.502,0.509,0.398,1.781,0.316,0.239,3.077
0.778,0.408,0.499,0.498,0.476,1.787,0.322,0.672,2.865
0.638,0.337,0.496,0.481,0.426,1.781,0.32,0.392,3.018
0.693,0.371,0.508,0.535,0.459,1.775,0.321,0.373,2.837
0.426,0.234,0.487,0.459,0.349,1.995,0.308,0.191,2.763
0.657,0.342,0.495,0.471,0.425,1.994,0.33,0.485,3.042
0.604,0.321,0.506,0.535,0.418,1.785,0.316,0.252,2.973
0.239,0.125,0.49,0.444,0.208,1.824,0.311,0.061,2.879
0.88,0.487,0.554,0.555,0.555,1.958,0.347,1.515,3.115
0.545,0.29,0.491,0.459,0.392,1.793,0.313,0.24,2.825
0.848,0.435,0.496,0.488,0.482,1.795,0.334,0.999,3.002
0.781,0.408,0.504,0.52,0.473,1.981,0.324,0.654,3.109
0.722,0.38,0.491,0.472,0.458,1.812,0.328,0.497,2.858
0.559,0.3,0.498,0.489,0.404,1.785,0.316,0.266,2.893
0.175,0.092,0.472,0.397,0.162,1.956,0.313,0.045,3.003
