Accuracy,IoU,Precision,Recall,F1,Conversion time,Annealing time
0.535,0.18,0.653,0.518,0.234,0.705,42.153
0.659,0.224,0.658,0.562,0.268,0.682,40.718
0.669,0.228,0.654,0.567,0.271,1.228,38.156
0.504,0.174,0.65,0.513,0.229,0.694,38.526
0.549,0.185,0.64,0.528,0.238,0.669,42.692
0.571,0.194,0.66,0.53,0.246,0.665,42.7
0.486,0.165,0.654,0.502,0.221,1.299,39.793
0.571,0.199,0.654,0.537,0.249,0.676,45.589
0.499,0.171,0.656,0.507,0.226,0.672,37.859
0.583,0.196,0.652,0.535,0.247,1.283,44.976
0.565,0.195,0.664,0.529,0.246,0.694,39.328
0.545,0.188,0.648,0.527,0.24,0.698,39.746
0.536,0.181,0.647,0.521,0.235,1.255,42.554
0.518,0.175,0.653,0.512,0.23,0.688,40.261
0.474,0.168,0.65,0.506,0.223,0.686,42.527
0.66,0.224,0.65,0.565,0.268,1.31,39.206
0.512,0.172,0.643,0.513,0.227,0.703,40.553
0.517,0.177,0.654,0.514,0.232,0.686,38.248
0.482,0.166,0.656,0.502,0.222,0.698,40.433
0.521,0.182,0.646,0.522,0.236,1.363,42.964
0.555,0.188,0.652,0.526,0.24,0.728,43.673
0.582,0.198,0.654,0.536,0.248,0.679,59.5
0.505,0.173,0.649,0.512,0.228,1.478,47.605
0.493,0.165,0.649,0.503,0.221,0.748,45.047
0.49,0.168,0.638,0.51,0.223,0.716,42.026
0.492,0.171,0.653,0.508,0.226,1.265,39.882
0.649,0.222,0.66,0.558,0.266,0.692,43.008
0.639,0.217,0.659,0.554,0.263,0.655,41.215
0.513,0.177,0.649,0.516,0.231,1.235,38.451
0.57,0.194,0.646,0.535,0.245,0.674,37.899
