,idx,accuracy,iou,precision,recall,f1,runtime
0,0.0,0.967,0.484,0.484,0.5,0.492,35.221
1,1.0,0.959,0.48,0.48,0.499,0.49,32.814
2,2.0,0.953,0.485,0.896,0.508,0.505,32.395
3,3.0,0.937,0.469,0.469,0.5,0.484,32.312
4,4.0,0.941,0.472,0.649,0.502,0.489,32.629
5,5.0,0.994,0.913,0.945,0.961,0.953,32.115
6,6.0,0.959,0.48,0.48,0.5,0.49,32.445
7,7.0,0.933,0.467,0.467,0.5,0.483,32.446
8,8.0,0.955,0.478,0.478,0.5,0.489,32.47
9,9.0,0.963,0.482,0.482,0.5,0.491,32.654
10,10.0,0.957,0.479,0.48,0.499,0.489,32.946
11,11.0,0.936,0.468,0.468,0.5,0.483,32.229
12,12.0,0.95,0.49,0.589,0.514,0.516,32.721
13,13.0,0.963,0.482,0.482,0.5,0.491,34.023
14,14.0,0.914,0.457,0.458,0.499,0.478,32.385
15,15.0,0.948,0.484,0.814,0.51,0.507,32.516
16,16.0,0.95,0.475,0.475,0.5,0.487,32.54
17,17.0,0.949,0.475,0.475,0.499,0.487,32.462
18,18.0,0.951,0.476,0.476,0.5,0.487,32.646
19,19.0,0.927,0.567,0.796,0.611,0.653,32.704
20,20.0,0.958,0.484,0.659,0.504,0.498,32.829
21,21.0,0.957,0.479,0.479,0.5,0.489,32.531
22,22.0,0.942,0.471,0.471,0.5,0.485,32.742
23,23.0,0.967,0.484,0.484,0.499,0.492,32.854
24,24.0,0.924,0.464,0.494,0.5,0.484,32.752
25,25.0,0.939,0.47,0.47,0.5,0.484,32.668
26,26.0,0.962,0.481,0.481,0.499,0.49,32.676
27,27.0,0.965,0.483,0.483,0.499,0.491,32.522
28,28.0,0.935,0.473,0.662,0.505,0.495,32.531
29,29.0,0.939,0.47,0.47,0.499,0.484,32.773
