idx,thresholds,k,cl,Accuracy,IoU,Precision,Recall,F1,Conversion time,Sampling time,Annealing time,Labeling time
0,0.5,0.4,rc,0.978,0.722,0.842,0.787,0.812,0.687,0.319,2.9,2.008
1,0.4,0.4,rc,0.96,0.662,0.972,0.683,0.757,0.82,0.346,4.41,2.006
2,0.4,0.5,,0.975,0.739,0.939,0.765,0.828,0.676,0.295,1.413,2.001
3,0.5,0.30000000000000004,rc,0.895,0.59,0.655,0.799,0.695,0.807,0.342,4.447,2.031
4,0.4,0.30000000000000004,rc,0.984,0.87,0.933,0.92,0.926,0.677,0.313,2.087,1.998
5,0.5,0.4,rc,0.965,0.709,0.738,0.933,0.803,0.671,0.401,8.846,2.124
6,0.4,0.4,rc,0.967,0.674,0.789,0.75,0.768,0.683,0.307,2.087,1.984
7,0.4,0.0,,0.959,0.695,0.898,0.733,0.791,0.68,0.238,1.509,2.038
8,0.5,0.5,rc,0.933,0.609,0.666,0.783,0.705,0.67,0.317,2.453,1.784
9,0.30000000000000004,0.30000000000000004,,0.974,0.733,0.814,0.833,0.823,0.815,0.291,1.266,2.021
10,0.30000000000000004,0.5,rc,0.973,0.714,0.84,0.778,0.806,0.676,0.29,0.967,2.014
11,0.5,0.30000000000000004,rc,0.962,0.668,0.789,0.74,0.762,0.672,0.358,4.901,2.022
12,0.5,0.30000000000000004,rc,0.984,0.873,0.906,0.954,0.928,0.82,0.383,6.658,2.066
13,0.5,0.4,rc,0.883,0.55,0.611,0.901,0.649,0.678,0.403,8.096,1.781
14,0.4,0.30000000000000004,,0.95,0.71,0.88,0.761,0.807,0.675,0.324,4.031,2.026
15,0.4,0.5,,0.976,0.778,0.938,0.809,0.861,0.818,0.314,2.884,1.986
16,0.4,0.5,rc,0.98,0.816,0.9,0.88,0.89,0.827,0.342,4.538,2.028
17,0.5,0.5,rc,0.973,0.741,0.907,0.78,0.83,0.831,0.314,2.52,2.007
18,0.30000000000000004,0.5,rc,0.97,0.749,0.84,0.836,0.838,0.817,0.31,1.973,2.033
19,0.30000000000000004,0.4,rc,0.952,0.701,0.918,0.738,0.799,0.822,0.314,2.394,2.052
20,0.5,0.1,rc,0.981,0.766,0.97,0.782,0.85,0.676,0.311,2.53,2.003
21,0.5,0.2,rc,0.958,0.71,0.749,0.907,0.805,0.679,0.31,2.174,2.043
22,0.5,0.1,rc,0.986,0.806,0.888,0.876,0.882,0.816,0.318,2.527,2.067
23,0.30000000000000004,0.5,,0.977,0.857,0.895,0.946,0.919,0.674,0.361,6.257,2.017
24,0.30000000000000004,0.4,,0.987,0.889,0.971,0.91,0.938,0.677,0.352,5.544,1.788
25,0.4,0.5,,0.964,0.722,0.751,0.94,0.816,0.673,0.364,6.031,2.053
26,0.5,0.30000000000000004,,0.976,0.761,0.795,0.926,0.847,0.828,0.378,7.198,2.075
27,0.5,0.30000000000000004,rc,0.96,0.777,0.811,0.945,0.863,0.675,0.327,3.165,2.002
28,0.30000000000000004,0.30000000000000004,rc,0.979,0.819,0.985,0.832,0.892,0.673,0.297,1.418,2.004
29,0.1,0.2,rc,0.978,0.736,0.902,0.775,0.826,0.695,0.286,0.642,1.977
