idx,Accuracy,IoU,Precision,Recall,F1,Runtime
0.0,0.099,0.05,0.55,0.5,0.09,0.174
1.0,0.113,0.057,0.557,0.5,0.102,0.189
2.0,0.15,0.075,0.575,0.5,0.131,0.155
3.0,0.141,0.07,0.57,0.5,0.123,0.155
4.0,0.136,0.068,0.568,0.5,0.12,0.155
5.0,0.118,0.059,0.559,0.5,0.106,0.155
6.0,0.108,0.054,0.554,0.5,0.098,0.157
7.0,0.107,0.054,0.554,0.5,0.097,0.161
8.0,0.159,0.08,0.58,0.5,0.137,0.149
9.0,0.159,0.08,0.58,0.5,0.137,0.158
10.0,0.144,0.072,0.572,0.5,0.126,0.157
11.0,0.165,0.082,0.582,0.5,0.141,0.142
12.0,0.109,0.054,0.554,0.5,0.098,0.157
13.0,0.112,0.056,0.556,0.5,0.1,0.155
14.0,0.107,0.053,0.553,0.5,0.096,0.156
15.0,0.137,0.068,0.568,0.5,0.12,0.151
16.0,0.132,0.066,0.566,0.5,0.117,0.154
17.0,0.141,0.07,0.57,0.5,0.123,0.153
18.0,0.161,0.08,0.58,0.5,0.138,0.158
19.0,0.15,0.075,0.575,0.5,0.131,0.155
