Accuracy,IoU,Precision,Recall,F1,Runtime
0.557,0.196,0.642,0.54,0.247,33.698
0.523,0.185,0.636,0.53,0.238,31.821
0.47,0.171,0.624,0.518,0.226,31.18
0.511,0.186,0.634,0.531,0.239,31.975
0.507,0.182,0.63,0.529,0.236,31.103
0.45,0.16,0.629,0.504,0.216,32.974
0.564,0.199,0.639,0.544,0.25,32.771
0.616,0.218,0.641,0.563,0.263,32.477
0.433,0.157,0.615,0.505,0.213,32.191
0.521,0.189,0.623,0.54,0.241,33.438
0.492,0.177,0.626,0.525,0.232,31.336
0.5,0.182,0.621,0.533,0.236,31.817
0.509,0.18,0.635,0.524,0.233,32.719
0.468,0.166,0.633,0.509,0.222,32.331
0.519,0.182,0.634,0.527,0.236,33.903
0.473,0.17,0.626,0.516,0.225,31.863
0.447,0.159,0.621,0.505,0.215,32.96
0.493,0.177,0.626,0.524,0.231,32.908
0.54,0.195,0.622,0.548,0.246,33.594
0.489,0.177,0.625,0.525,0.232,34.0
