Accuracy,IoU,Precision,Recall,F1,runtime
0.808,0.476,0.568,0.602,0.576,10.933
0.792,0.477,0.576,0.613,0.586,12.421
0.788,0.496,0.608,0.624,0.614,14.109
0.759,0.464,0.575,0.603,0.582,15.707
0.786,0.486,0.593,0.618,0.601,13.748
0.827,0.508,0.607,0.623,0.614,10.909
0.851,0.516,0.615,0.615,0.615,7.489
0.821,0.497,0.591,0.621,0.602,9.559
0.779,0.469,0.581,0.578,0.579,11.34
0.77,0.474,0.588,0.597,0.592,12.843
0.785,0.472,0.578,0.584,0.58,10.679
0.767,0.473,0.588,0.595,0.591,12.382
0.812,0.498,0.594,0.636,0.606,12.124
0.813,0.49,0.586,0.613,0.595,9.179
0.811,0.485,0.579,0.61,0.588,9.889
0.782,0.47,0.575,0.589,0.58,11.759
0.778,0.474,0.58,0.605,0.587,12.816
0.796,0.487,0.594,0.603,0.598,10.706
0.781,0.485,0.6,0.603,0.602,12.617
0.786,0.483,0.594,0.602,0.597,12.328
