Accuracy,IoU,Precision,Recall,F1,Conversion time,Annealing time
0.505,0.178,0.638,0.52,0.232,0.574,32.652
0.487,0.173,0.634,0.517,0.228,0.557,32.908
0.443,0.159,0.615,0.507,0.215,0.541,32.985
0.434,0.156,0.62,0.502,0.212,0.597,34.136
0.501,0.179,0.626,0.527,0.233,0.573,31.781
0.458,0.163,0.63,0.506,0.219,0.913,32.032
0.523,0.185,0.637,0.529,0.238,0.58,32.183
0.488,0.172,0.633,0.515,0.227,0.577,33.115
0.446,0.161,0.614,0.51,0.217,0.987,32.944
0.478,0.172,0.615,0.523,0.226,0.575,33.497
0.488,0.175,0.622,0.523,0.229,0.721,32.655
0.444,0.16,0.61,0.511,0.216,0.937,32.33
0.473,0.167,0.634,0.51,0.223,0.548,32.935
0.516,0.182,0.634,0.527,0.236,0.91,32.809
0.519,0.184,0.637,0.527,0.237,0.586,32.729
0.469,0.169,0.627,0.514,0.224,0.89,33.318
0.46,0.165,0.626,0.51,0.22,0.563,32.905
0.524,0.188,0.627,0.537,0.24,0.558,35.071
0.44,0.16,0.616,0.508,0.216,0.943,33.68
0.471,0.17,0.623,0.518,0.226,0.619,33.902
