idx,thresholds,k,Accuracy,IoU,Precision,Recall,F1,Conversion time,Sampling time,Annealing time,Labeling time
0.0,0.1,0.2,0.958,0.795,0.9,0.856,0.877,0.61,9.073,5.881,2.9
1.0,0.1,0.2,0.951,0.79,0.884,0.865,0.874,0.62,11.097,7.636,2.593
2.0,0.1,0.1,0.934,0.766,0.895,0.83,0.858,0.647,10.609,7.295,2.838
3.0,0.1,0.2,0.932,0.751,0.886,0.816,0.846,0.593,11.055,7.91,3.309
4.0,0.2,0.2,0.946,0.792,0.914,0.847,0.876,0.84,11.393,8.196,2.799
5.0,0.1,0.2,0.96,0.823,0.928,0.871,0.897,0.599,9.364,6.43,2.716
6.0,0.1,0.1,0.949,0.77,0.891,0.832,0.859,0.619,8.187,4.558,2.737
7.0,0.2,0.2,0.953,0.776,0.911,0.828,0.863,0.59,9.99,6.417,2.36
8.0,0.1,0.2,0.932,0.777,0.884,0.852,0.867,0.861,12.167,8.328,2.415
9.0,0.0,0.1,0.931,0.776,0.879,0.856,0.867,0.656,10.127,6.215,2.609
10.0,0.0,0.2,0.928,0.749,0.87,0.825,0.845,0.632,9.741,6.203,2.981
11.0,0.1,0.1,0.929,0.772,0.887,0.845,0.864,0.649,11.606,7.905,2.973
12.0,0.0,0.1,0.939,0.744,0.846,0.833,0.839,0.637,9.019,5.319,2.566
13.0,0.0,0.2,0.945,0.765,0.874,0.839,0.856,0.636,9.093,5.623,2.575
14.0,0.0,0.2,0.956,0.801,0.89,0.874,0.881,0.93,9.596,6.092,3.13
15.0,0.0,0.1,0.938,0.781,0.871,0.867,0.869,0.909,10.056,6.457,2.947
16.0,0.0,0.1,0.933,0.755,0.858,0.842,0.85,1.102,9.303,5.777,3.029
17.0,0.0,0.1,0.929,0.755,0.86,0.841,0.85,0.921,9.758,6.292,2.605
18.0,0.1,0.1,0.948,0.819,0.935,0.866,0.896,0.631,10.296,6.821,2.931
19.0,0.0,0.2,0.944,0.799,0.913,0.857,0.882,0.894,10.713,7.142,2.617
